,PCA,OrthogonalAE,EfficientKAN,FastKAN,FourierKAN,WavKAN
IDV 3,4.00 ± 0.78,3.08 ± 1.00,6.02 ± 1.59,3.31 ± 1.90,2.67 ± 1.54,3.46 ± 1.82
IDV 9,7.20 ± 1.00,9.21 ± 1.18,8.54 ± 1.39,6.13 ± 1.41,8.19 ± 1.34,8.17 ± 1.69
IDV 15,4.33 ± 0.60,2.04 ± 0.66,2.77 ± 0.63,1.46 ± 0.55,1.10 ± 0.36,0.44 ± 0.21
IDV 4,5.05 ± 0.77,2.00 ± 0.42,1.60 ± 0.60,1.56 ± 0.46,1.62 ± 0.50,1.60 ± 0.47
IDV 5,5.05 ± 0.77,2.00 ± 0.42,1.60 ± 0.60,1.56 ± 0.46,1.62 ± 0.50,1.60 ± 0.47
IDV 7,3.80 ± 0.58,1.90 ± 0.54,2.00 ± 0.71,1.15 ± 0.58,1.27 ± 0.40,1.04 ± 0.42
IDV 1,4.95 ± 0.61,2.19 ± 0.41,2.48 ± 0.57,1.12 ± 0.66,0.92 ± 0.38,1.06 ± 0.37
IDV 2,3.75 ± 0.66,1.13 ± 0.37,1.31 ± 0.57,1.69 ± 0.60,1.21 ± 0.40,1.65 ± 0.50
IDV 6,3.85 ± 0.66,1.00 ± 0.30,1.29 ± 0.43,1.54 ± 0.70,1.31 ± 0.33,1.15 ± 0.36
IDV 8,3.80 ± 0.54,2.96 ± 0.57,3.75 ± 0.95,4.29 ± 1.54,3.35 ± 1.69,2.27 ± 1.57
IDV 10,3.55 ± 0.68,1.77 ± 0.46,1.04 ± 0.31,1.46 ± 0.44,1.00 ± 0.32,0.81 ± 0.36
IDV 11,4.22 ± 0.55,2.67 ± 0.57,2.04 ± 0.54,2.71 ± 0.72,1.52 ± 0.54,0.63 ± 0.39
IDV 12,3.35 ± 0.54,3.35 ± 0.81,3.75 ± 1.03,4.12 ± 1.40,3.35 ± 1.18,2.90 ± 1.44
IDV 13,3.47 ± 0.62,1.29 ± 0.42,1.04 ± 0.41,1.35 ± 0.65,0.85 ± 0.35,0.65 ± 0.27
IDV 14,2.98 ± 0.53,2.06 ± 0.57,1.00 ± 0.34,1.54 ± 0.55,0.88 ± 0.33,0.48 ± 0.26
IDV 16,6.08 ± 0.78,9.65 ± 1.49,7.60 ± 1.44,20.02 ± 2.30,14.75 ± 2.48,12.90 ± 2.95
IDV 17,5.90 ± 0.66,3.81 ± 0.92,3.73 ± 1.10,1.90 ± 0.67,2.02 ± 0.58,1.71 ± 0.55
IDV 18,5.20 ± 0.71,2.50 ± 0.71,2.31 ± 0.61,1.73 ± 0.68,1.33 ± 0.52,0.65 ± 0.32
IDV 19,2.78 ± 0.54,1.35 ± 0.47,2.52 ± 0.66,2.73 ± 0.89,0.75 ± 0.33,0.42 ± 0.33
IDV 20,3.48 ± 0.65,0.96 ± 0.41,0.65 ± 0.26,1.00 ± 0.53,0.44 ± 0.24,0.48 ± 0.25
IDV 21,6.80 ± 1.10,5.17 ± 1.27,5.35 ± 1.27,2.92 ± 1.12,2.92 ± 1.13,2.42 ± 1.11
